ID,Family Name,First Name
1147,Ostrzyeki,Minnie
1147,Pearl,Minnie
1147,Close,Minnie
325,Bond,Cecelia
325,Raby,Cecelia
325,Lott,Cecelia
842,Zamora,Hannah
842,Henderson,Hannah
842,Killeen,Hannah
1512,Lopez,George
1512,Radcliff,George
1512,Jones,George
2072,Hebert,Ramona
2072,Ansell,Ramona
2072,Temple,Ramona
842,Zamora,Ruben
842,Henderson,Ruben
842,Killeen,Ruben
1147,Ostrzyeki,Thomas
1147,Pearl,Thomas
1147,Close,Thomas
1512,Lopez,Lindy
1512,Radcliff,Lindy
1512,Jones,Lindy
325,Bond,Lisa
325,Raby,Lisa
325,Lott,Lisa
2072,Hebert,Cassandra
2072,Ansell,Cassandra
2072,Temple,Cassandra
2617,Lawson,Chad
2617,Bier,Chad
2617,Friedman,Chad
325,Bond,Ramon
325,Raby,Ramon
325,Lott,Ramon
1147,Ostrzyeki,Samuel
1147,Pearl,Samuel
1147,Close,Samuel
2072,Hebert,Edward
2072,Ansell,Edward
2072,Temple,Edward
2617,Lawson,Vincent
2617,Bier,Vincent
2617,Friedman,Vincent
842,Zamora,Theda
842,Henderson,Theda
842,Killeen,Theda
1512,Lopez,Ruth
1512,Radcliff,Ruth
1512,Jones,Ruth
2617,Lawson,Patricia
2617,Bier,Patricia
2617,Friedman,Patricia
2,Pals,Timothy
2,Brannen,Timothy
6,Beck,Karl
11,Miller,Kimberly
23,Sanchez,Catherine
26,Pedro,Timothy
40,Imel,Charles
47,Judkins,Zoila
50,Coleman,William
55,Coxon,David
55,Coxon,Nicolasa
58,Crowley,Walter
58,Crowley,Paul
61,Harkrader,Robert
61,Harkrader,Arturo
62,Miller,Valentine
67,Castro,Lois
67,Castro,Sarah
67,Castro,Robert
68,Crisafi,Deanne
68,Busch,Deanne
72,Packwood,Daniel
76,Hooten,David
79,Clark,Jeanne
80,Murray,Ashley
83,Thomas,Daniel
84,Bower,Isreal
85,Priest,Nancy
90,Rivera,William
90,Rivera,Joseph
105,Breedlove,Earlene
106,Dierking,Lisa
120,Dannis,Clayton
122,Russell,Martha
122,Russell,Anna
125,Valdez,Vera
125,Valdez,Kerry
132,Shockley,Jana
145,Granado,Patricia
151,Cook,Jennifer
153,Yoon,Lawrence
158,Pegoda,Jeremy
186,Mcatee,Anne
203,Graham,Lisa
204,Calderon,Emory
213,Sonoski,Scott
213,Hall,Scott
220,Miller,Clifford
222,Davis,Janet
224,Harmon,Gary
238,Stec,Richard
257,Billington,Chester
272,Hargreaves,Theresa
283,Brown,Albert
295,Bates,Eunice
295,Bates,Jaclyn
302,Goble,Ricardo
311,Lovett,Sandra
317,Baker,Cora
367,Nelson,Gracie
369,Hernandez,Charles
383,Marsh,Angela
383,Marsh,Eric
394,Diamond,William
394,Diamond,Scott
407,Holt,Ronald
418,Deck,Phil
418,Nixon,Phil
419,Abel,Jennifer
431,Capps,Cornell
442,Mitchell,Donna
445,Marcum,Susan
447,Veach,Florence
460,Natcher,Sharon
480,Larson,Edgar
480,Larson,Richard
485,Arce,Jacquelyne
486,Thompson,Donna
488,Schuler,Diane
502,Robinson,Stephen
502,Robinson,Debra
508,Fye,Mary
520,Nash,Kathy
523,Cox,Kristina
527,Turnbull,Maryellen
529,Lyons,Sherry
532,Hart,Vickie
532,Cadwell,Vickie
541,Jones,Betty
546,Watts,Kevin
546,Danielson,Kevin
546,Brown,Kevin
549,Miller,Nancy
554,Mcfadden,John
554,Mcfadden,Eileen
554,Mcfadden,Kay
562,Sanos,Elsie
580,Halsey,Clarence
580,Shelton,Clarence
583,Mccurdy,Harold
589,Howell,Larry
595,Pretti,Lora
595,Pretti,John
597,Foley,Arthur
607,Fry,Jimmy
607,Fry,Brandon
611,Lum,Hazel
629,Bernabe,Emily
635,Moers,Terry
635,Moers,Eloise
637,Spurlock,Carole
641,Lackey,Judith
644,Morris,Maria
646,Taylor,Shirley
652,Itson,Grace
674,Shores,Roosevelt
674,Cooper,Roosevelt
679,Geer,Sharron
681,Fundora,Kathleen
687,Calvin,Elizabeth
687,Calvin,Walter
689,Taylor,Sarah
689,Taylor,Edna
693,Harris,Lamar
700,Johnson,Nancy
714,Stalnaker,Tina
739,White,David
739,White,David
739,White,Ivy
739,White,Ivy
739,White,Charlotte
739,White,Charlotte
744,Mcgee,Clark
746,Robinson,Peter
750,Hull,Michael
758,Hamilton,Stephen
764,Boggioni,Justin
765,Howard,Tammy
770,Dickson,Quinn
772,Goggin,Regina
772,Goggin,James
772,Goggin,Jeannette
782,Maxwell,David
787,Foreman,Stephanie
792,Martin,Lester
792,Martin,Donald
799,Durham,Rebecca
815,Perez,Eric
823,Hines,Susan
823,Kennedy,Susan
824,Raub,Eugene
824,Raub,Rebecca
829,Jones,Jamie
846,Bell,Sandra
854,Fuchs,Alvin
854,Fuchs,Virginia
890,Staten,Edward
898,Roche,Rebecca
898,Masella,Rebecca
918,Poulton,Bud
922,Cole,Maria
936,Dew,Teresa
936,Dew,Natalie
939,Grissom,Charles
941,Blomdahl,Trevor
944,Cha,Cheryl
945,Mcchriston,Stephanie
945,Mcchriston,Keli
949,Fry,Allene
949,Thompson,Allene
964,Washington,Vickie
964,Terry,Vickie
969,Lucero,Alison
980,Boehman,Jean
980,Riddle,Jean
994,Roth,Jeanne
994,Roth,Dana
998,Rogers,Stephen
998,Rogers,Katherine
998,Rogers,Neal
1001,Baldwin,Gregory
1001,Burton,Gregory
1001,Baldwin,Robert
1001,Burton,Robert
1003,Davis,Michael
1009,Scott,Gerardo
1018,Woodard,Valerie
1018,Sellers,Valerie
1019,Hunter,Monica
1025,Romero,Dennis
1041,Roden,Susan
1043,Vossen,Lizbeth
1049,Pugh,Claire
1050,Martin,Bernice
1061,Hakes,Jennifer
1061,Rodgers,Jennifer
1066,Shirley,Earl
1069,Daniels,Jessica
1069,Daniels,Anna
1085,Gould,Heidi
1088,Hester,Mary
1090,Williams,Bobby
1097,Arcos,Mary
1097,Arcos,Eileen
1129,Fouse,Kelli
1130,Zima,Perry
1135,Monroy,Tashina
1140,Whitaker,Joseph
1151,Palencia,Melissa
1154,Green,Christine
1172,Hughes,Ashley
1181,Prince,Gary
1181,Prince,Barbara
1183,Jones,Susan
1183,Guyton,Susan
1184,Castillo,George
1189,Davis,Peter
1192,Sagon,Matthew
1192,Sagon,Janet
1200,Sande,Marcia
1200,Sande,Olivia
1210,Eckloff,April
1213,Puckett,Michael
1213,Johnson,Michael
1224,Green,James
1234,Gallegos,Tori
1257,Masse,Corene
1259,Castillo,Darrell
1271,Jarvis,John
1293,Boatner,Megan
1293,Gillick,Megan
1300,Laine,Dane
1311,Smith,Hazel
1317,Steinert,Mary
1317,Espinoza,Mary
1329,Watson,Susan
1341,Widera,Jeff
1345,Johnson,Julie
1345,Cowley,Julie
1349,Morales,Robert
1374,Ainslie,Kevin
1376,Sullivan,Mary
1376,Sullivan,Jerry
1376,Sullivan,Brandon
1389,Richardson,Alexander
1392,Lynn,Edna
1395,Mclean,Ruth
1399,Sage,Ben
1409,Parker,Mildred
1409,Parker,Mable
1412,Quezad,Eric
1418,Benton,Paul
1422,Dam,Joseph
1425,Oneill,Marie
1427,Pettigrew,Kyle
1427,Thompson,Kyle
1427,Brown,Kyle
1427,Pettigrew,Chester
1427,Thompson,Chester
1427,Brown,Chester
1439,Johnson,Cathy
1439,Johnson,Candy
1443,Monat,Christina
1447,Glover,Paul
1457,Coleman,Joseph
1460,Allen,Harold
1461,Woods,George
1461,Heard,George
1465,Lentz,Bernard
1469,Hensley,Daniel
1471,Hafer,Darci
1471,Sholders,Darci
1478,Noble,John
1482,Channell,Timothy
1482,Wells,Timothy
1484,Hoyle,Sheila
1484,Mcclellan,Sheila
1486,Peckham,Linda
1486,Peckham,Calvin
1487,Newton,Nick
1495,Bank,Lucille
1501,Turrie,Mary
1505,Finn,Stephen
1505,Stanley,Stephen
1531,Oliphant,Timothy
1531,Cato,Timothy
1531,Oliphant,Barbara
1531,Cato,Barbara
1535,Hersha,Daniel
1537,Davis,Mark
1537,Roberts,Mark
1538,Dyas,Linda
1540,Wilkinson,Pauline
1548,Cruz,Cathy
1548,Cruz,John
1549,Gibson,Frank
1554,Wallace,Abraham
1554,Wallace,Justin
1555,Preston,Derek
1557,Springer,Valerie
1575,Cassette,Karen
1576,Anderson,Doris
1599,Robinson,Barbara
1602,Raynor,Terry
1610,Lemmo,Albert
1613,Sneed,Joseph
1613,Rayburn,Joseph
1620,Atkins,Carol
1625,Lollis,Lora
1625,Baxter,Lora
1638,Chagnon,Jo
1638,Graham,Jo
1639,Dykes,Kimberly
1676,Scott,Leticia
1682,Dowdy,Kimberlee
1694,Mckenney,Hazel
1696,Demello,Nancy
1697,Purinton,Douglas
1721,Crawford,Dolores
1721,Mcdonald,Dolores
1733,Waterfall,Nancy
1738,Spooner,Ernest
1738,Spooner,Anne
1739,Hurst,Earline
1751,Wright,Lloyd
1754,Natonabah,Sarah
1759,Cramer,Barbara
1761,Hayes,Charlene
1761,Roddy,Charlene
1764,Vogt,Rose
1764,Vogt,Nelson
1766,Marr,Julia
1766,Marr,David
1774,Dodson,Bernard
